ask_price,bid_price,creation_time,expiry_date,instrument_name,option_type,strike_price,underlying_price,volume
,,07-16-2019,07-26-2019,BTC-26JUL19-20000-P,P,20000,10738.546269063676,0.0
,,07-16-2019,07-26-2019,BTC-26JUL19-19000-P,P,19000,10738.546269063676,0.0
0.001,,07-16-2019,07-26-2019,BTC-26JUL19-5500-P,P,5500,10738.546269063676,0.0
0.05,0.044,07-16-2019,12-27-2019,BTC-27DEC19-30000-C,C,30000,11016.52,5.9
0.001,,07-16-2019,09-27-2019,BTC-27SEP19-1500-P,P,1500,10854.73,0.0
0.063,0.0575,07-16-2019,12-27-2019,BTC-27DEC19-6500-P,P,6500,11016.52,1.0
0.0015,,07-16-2019,07-26-2019,BTC-26JUL19-19000-C,C,19000,10738.546269063676,0.0
0.241,0.23,07-16-2019,12-27-2019,BTC-27DEC19-12000-C,C,12000,11017.06,17.7
0.556,0.454,07-16-2019,09-27-2019,BTC-27SEP19-5500-C,C,5500,10854.73,0.0
0.273,0.19,07-16-2019,07-26-2019,BTC-26JUL19-13000-P,P,13000,10738.546269063676,0.0
0.1945,0.116,07-16-2019,07-26-2019,BTC-26JUL19-12000-P,P,12000,10738.546269063676,6.0
0.33,0.316,07-16-2019,12-27-2019,BTC-27DEC19-12000-P,P,12000,11016.52,7.5
0.066,0.0635,07-16-2019,07-26-2019,BTC-26JUL19-11000-C,C,11000,10738.546269063676,62.0
0.5495,0.2155,07-16-2019,12-27-2019,BTC-27DEC19-7000-C,C,7000,11016.52,0.0
0.007,0.005,07-16-2019,07-26-2019,BTC-26JUL19-8000-P,P,8000,10738.546269063676,46.8
,,07-16-2019,09-27-2019,BTC-27SEP19-32000-P,P,32000,10854.73,0.0
0.003,0.0015,07-16-2019,07-19-2019,BTC-19JUL19-13000-C,C,13000,10725.582521210443,38.6
0.022,0.0185,07-16-2019,09-27-2019,BTC-27SEP19-24000-C,C,24000,10855.27,0.0
0.0105,0.008,07-16-2019,07-19-2019,BTC-19JUL19-12000-C,C,12000,10725.582521210443,48.6
0.739,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-3750-C,C,3750,10854.73,0.0
0.6915,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-4750-C,C,4750,10854.73,0.0
0.0095,0.0065,07-16-2019,09-27-2019,BTC-27SEP19-32000-C,C,32000,10854.73,42.5
0.0455,0.042,07-16-2019,07-26-2019,BTC-26JUL19-10000-P,P,10000,10738.546269063676,56.0
0.005,0.003,07-16-2019,09-27-2019,BTC-27SEP19-4250-P,P,4250,10855.27,25.0
0.149,0.1425,07-16-2019,09-27-2019,BTC-27SEP19-12000-C,C,12000,10854.73,22.5
0.303,0.218,07-16-2019,07-26-2019,BTC-26JUL19-8000-C,C,8000,10738.546269063676,0.0
0.1665,0.09,07-16-2019,07-19-2019,BTC-19JUL19-12000-P,P,12000,10725.582521210443,0.0
,,07-16-2019,12-27-2019,BTC-27DEC19-30000-P,P,30000,11016.52,0.0
,,07-16-2019,12-27-2019,BTC-27DEC19-48000-P,P,48000,11016.52,0.0
0.014,0.011,07-16-2019,09-27-2019,BTC-27SEP19-28000-C,C,28000,10854.73,0.4
0.0585,0.055,07-16-2019,07-19-2019,BTC-19JUL19-11000-P,P,11000,10725.582521210443,19.8
0.3025,0.2175,07-16-2019,07-19-2019,BTC-19JUL19-13500-P,P,13500,10725.044632180154,0.0
1.324,0.0045,07-16-2019,09-27-2019,BTC-27SEP19-18000-P,P,18000,10854.81,0.0
2.2195,0.004,07-16-2019,12-27-2019,BTC-27DEC19-26000-P,P,26000,11016.52,0.0
0.0375,0.035,07-16-2019,07-26-2019,BTC-26JUL19-12000-C,C,12000,10738.546269063676,7.7
0.001,0.0005,07-16-2019,07-19-2019,BTC-19JUL19-14000-C,C,14000,10725.582521210443,24.4
0.0045,0.002,07-16-2019,09-27-2019,BTC-27SEP19-4000-P,P,4000,10854.73,15.0
0.084,0.08,07-16-2019,07-19-2019,BTC-19JUL19-10000-C,C,10000,10725.582521210443,10.6
,0.0005,07-16-2019,12-27-2019,BTC-27DEC19-36000-P,P,36000,11016.52,0.0
0.0005,,07-16-2019,07-19-2019,BTC-19JUL19-15000-C,C,15000,10725.582521210443,0.1
0.726,0.111,07-16-2019,09-27-2019,BTC-27SEP19-4000-C,C,4000,10854.73,0.0
0.0055,0.004,07-16-2019,07-26-2019,BTC-26JUL19-15500-C,C,15500,10738.546269063676,0.2
