creation_time_c,expiry_date_c,bid_size_c,bid_price_c,last_price_c,ask_price_c,strike_price_c,ask_size_c,volume_c,underlying_price_c,creation_time_p,expiry_date_p,bid_size_p,bid_price_p,last_price_p,ask_price_p,strike_price_p,ask_size_p,volume_p,underlying_price_p
09-08-2019,09-20-2019,6.0,0.106,0.107,0.111,9500,6.0,0.2,10475.03514289077,09-08-2019,09-27-2019,18.0,0.06,0.0665,0.0645,10500,6.8,2.7,10516.22
09-08-2019,10-25-2019,10.0,0.337,,,7000,,0.0,10562.413846039277,09-08-2019,03-27-2020,10.0,0.0005,,,30000,,0.0,10783.439792706144
09-08-2019,09-20-2019,7.0,0.072,0.0705,0.0745,10000,6.8,6.8,10475.047482837777,09-08-2019,09-13-2019,4.0,0.1305,0.147,0.6375,12000,4.0,0.5,10433.845605799985
09-08-2019,12-27-2019,27.4,0.1175,0.121,0.123,12000,5.1,0.5,10666.27,09-08-2019,03-27-2020,10.0,0.0005,,,26000,,0.0,10783.64200172077
09-08-2019,12-27-2019,17.0,0.0045,0.005,0.006,30000,34.0,3.0,10666.27,09-08-2019,09-27-2019,35.0,0.007,0.0075,0.0085,8500,21.8,0.1,10516.24
09-08-2019,09-27-2019,10.0,0.469,0.446,0.4845,5500,10.0,0.0,10516.22,09-08-2019,09-27-2019,,,0.0005,0.0005,1500,105.1,0.0,10516.22
09-08-2019,12-27-2019,12.2,0.366,0.382,0.3765,7000,10.0,4.0,10666.27,09-08-2019,12-27-2019,0.4,0.0205,0.022,0.0215,6500,24.0,60.0,10666.27
09-08-2019,10-25-2019,10.0,0.056,0.065,0.0605,12000,6.8,0.0,10562.413846039277,09-08-2019,09-13-2019,5.5,0.032,0.037,0.035,10500,22.4,11.8,10433.850286122024
09-08-2019,09-27-2019,,,0.0005,0.0005,24000,8.0,9.0,10516.22,09-08-2019,12-27-2019,14.4,0.2435,0.245,0.249,12000,1.0,2.0,10666.27
09-08-2019,09-20-2019,9.0,0.046,0.045,0.047,10500,0.2,0.3,10475.022802729782,09-08-2019,03-27-2020,10.0,0.0005,,,28000,,0.0,10783.54089720663
